TYPE,SUBJECT,START_DT,END_DT,OWNER_ID,REG_DT,COMP_DT,STATUS,PLANT,CAR_MAKER,PROJECT,M_CODE,Process,POINT_OUT,ROOT_CAUSE_ANALYSIS,COUNTER_MEASURE,URL
System,Subaru IP System Audit,2025-08-05,2025-08-07,60002485,2025-07-17,2025-08-21,Complete,IP,Others,-,-,System,Documentation regarding verification of trace back in the event of a nonconformity related to abnormality response is required.,Report of anlysis non conformity by tracking back in process or final product only keeping by QC there is need recording in the system,Record of analysis quality issue related use of tracking back in system,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3A1AA9B8D5D6613BE0633C071FCA5EFE
System,Subaru IP System Audit,2025-08-05,2025-08-07,60002485,2025-07-17,2025-08-21,Complete,IP,Others,-,-,Mixing,Training and application of corrective action after scanning and corrective action are required when using a refining chemical barcode scanner (risk of failure if dropped).,no record training regarding work instruction in handling scanning correct material,conduct training (OPL) regarding awareness handling scanning correct material,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3A1AA9B8D5D6613BE0633C071FCA5EFE
System,Subaru IP System Audit,2025-08-05,2025-08-07,60002485,2025-07-17,2025-08-21,Complete,IP,Others,-,-,Extrusion,Extrusion Process Cleaning Solution Box Nameplate and Cover need be considered to prevent contamination,no cover of chamber cleaning solution,placed the chamber cleaning solution and covered then placed on proper area,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3A1AA9B8D5D6613BE0633C071FCA5EFE
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Incoming,仓库1#机碳黑投入长期无时间记录。,-,及时准确记录。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Incoming,少量绵纱线批量管理表缺失。,-,批量管理表追加。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Incoming,AAE461A与AAE521A 存放在一起，只有一张LOT管理表,-,不同种类原材料 区分保管，LOT管理表 每LOT附着,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Mixing,A1008机台卸料门入口温度34.8，设定30.,-,设备U修理。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Mixing,密炼1楼少量胶存放区放有B71胶料。,-,胶料定置管理。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Mixing,A1010机台三楼Y307A放在Y215A投入口上。,-,未使用药品定置存放。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Extrusion,压出工程口型板残胶较多。以B1001为例。,-,口型板清理后存放。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Extrusion,B1003机台吐出温度测量故障。,-,设备U及时修复。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Extrusion,B1001机头渗胶 严重。,-,设备U及时修复。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Calendaring,压延帘布存在少量毛边现象。,-,帘布使用前处理作业。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Cutting,C1001 使用压延物交替时，操作员未扫描识别，更新信息,-,生产部作业时及时交替信息。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Bead,N1012机台口型管理不足，未定置。,-,加强口型板管理。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Building,H121A I/L切刀温度设定要求:230±20，实际设定显示:258,-,按照标准要求设定,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Building,H164C BELT切刀温度要求150º以下，实际设定显示:1#150  2#170,-,PM修理,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Curing,硫化K103三针记录纸不清楚。,-,原因查找并调整。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Curing,硫化K607实际为充气状态，显示为未充气。,-,设备U修复。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Curing,K1203/K1208机台油压设定错误（反映为无阀组更换），调高油压范围。,-,标准化作业遵守，设备异常及时修理。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-07-14,2025-07-14,81203449,2025-07-14,2025-07-16,Complete,HP,Others,-,-,Inspection,PCR：UF可以实现条码追溯，DB未实现条码追溯,-,投资计划促进,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=39E0C6CC6218FABDE0633C071FCAE7C6
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Calendaring,"F2301 Butyl rubber Recoup storage area, special management standard signboard has not been set up",-,Production and display of the board,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Re-work,"At the rework workshop, the heating repair temperature of the heating repair machine was below the standard.",Hot patch heater failure,Finished the repair.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Mixing,"Butyl rubber was piled up beside the machine, and the special management was not followed.","After completing the assignment, it was not promptly moved to the storage area.",Has been moved to the storage facility,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Mixing,The AAK304A medicine rack shows that the appearance of the display board packaging is inconsistent with the actual product.,The board was not updated in time.,The object update is complete.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Extrusion,"The remaining rubber was pressed out and stored together (P23, P46, P64), without any distinction.",Insufficient storage area,Return to the die-molding project operation in a timely manner,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Cutting,1# SBC storage area: The specifications of the steel cord fabric do not match those of the shelves.,Incorrect storage location,Material specification verification and organization,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Curing,The bladder was left lying around without being placed in the designated area in time.,The bladder retains a large amount of material that was not promptly removed,"Personnel training, bladder transfer to storage area",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Incoming,The dehumidifier in the curtain fabric warehouse has not been inspected for 2 days.,The employee forgot to conduct the inspection.,Record update. Employee Education,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Bead,Bead storage area: The number of stored Bead copies on the ground does not match the actual number of stored Bead copies.,The identification of the bead storage area is inappropriate.,1. Specification distinction of beads. 2. Removal of the old logo,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Bead,"Bead storage area, exposed steel wire of GW78063.",Insufficient lamination temperature,Steel wire heater repair,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Building,H2301: The butyl rubber was not properly labeled in time.,Employees failed to mark in time.,The personnel have completed their education.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Curing,K2306. Peak pressure exceeds the limit.,peak pressure failure,Peak pressure repair is completed.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
System,2025-Others-01,2025-06-27,2025-06-27,80601183,2025-06-27,2025-06-30,Complete,CP,Others,-,-,Extrusion,"D2001: The rubber U36 is in use. On the side, there is an earlier U36 that has not been used. FIFO not followed.","When using rubber, the production date of the rubber in stock was not checked.","Replace the rubber, follow FIFO principle",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=3885D00EA8509B6EE0633C071FCAD563
Project,2025-HMC-RS4-02,2025-07-03,2025-07-04,20200228,2025-06-17,2025-07-14,Complete,KP,HMC,RS4,1036056,Foam,글루 도포 전/후 타이어 중량 확인을 통한 도포량 중량계 신뢰성 확보,도포량 중량계 설치후 신뢰성 관련 미확보,김대철 매니저 요청사항대로 Glue 도포 전/후 타이어 중량 확인을 통한 도포량 중량계 신뢰성 확보(일지 수정),https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=37C07A5ABC9CD8BDE0633C071FCA4E63
Project,2025-HMC-RS4-01,2025-06-26,2025-06-26,20200228,2025-06-17,2025-07-15,Complete,KP,HMC,RS4,1036056,Cutting,멀티핑거롤 셋팅  최적화 관리 요청,-,-,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=37C06D7FD5F6D894E0633C071FCA4834
Project,2025-Benz-MMA V174/178-01,2025-06-17,2025-06-19,81705174,2025-06-06,2025-07-01,Complete,JP,Benz,MMA V174/178,1031340,Incoming,"For the supplier annual performance evaluation, there was no downgrading definition when the critical quality issue occurred.",The situation where the same supplier supplies different raw material items simultaneously has not been subject to detailed management,"In the ""Key Points for the Management of Raw and Auxiliary Materials"", new provisions have been added to provide corresponding measures for situations where the same supplier supplies multiple raw material items",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36DD3CC92DB06195E0633C071FCA1FF2
Project,2025-Benz-MMA V174/178-01,2025-06-17,2025-06-19,81705174,2025-06-06,2025-07-01,Complete,JP,Benz,MMA V174/178,1031340,Incoming,"There was no effective traceability analysis and containment within the supply chain about the material STR40 out of specification, only  returned the NG material back to supplier and stopped the delivery.",Non-compliant items are not subject to routine management but only subject to regular spot checks,"Incorporate the inspection of this item into the management of this type of raw materials, and require the supply to have the inspection capability of this item and reflect the inspection value in the COA in the warehouse",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36DD3CC92DB06195E0633C071FCA1FF2
Project,2025-Benz-MMA V174/178-01,2025-06-17,2025-06-19,81705174,2025-06-06,2025-07-01,Complete,JP,Benz,MMA V174/178,1031340,Design,The V540 19 inch and 20 inch tyre have been technical approval released but the hand over not finished yet,"During the approval process stage of each department in the internal T:DR Project management system, it has not been fully released yet",Push all relevant departments to complete the upload of system data as soon as possible to pass the approval and officially enter the industrialization stage,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36DD3CC92DB06195E0633C071FCA1FF2
Project,2025-Benz-MMA V174/178-01,2025-06-17,2025-06-19,81705174,2025-06-06,2025-07-01,Complete,JP,Benz,MMA V174/178,1031340,Incoming,The written expire date on the accelerant label was wrong(correct 2025 but written wrong 2026).,The production date on the AAE132A management ticket was mistakenly written as Year 2024 by the administrator (the Barcode label is correct).,The administrator is educated and requires careful confirmation when filling in. The Line leader conducts random checks from time to time.,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36DD3CC92DB06195E0633C071FCA1FF2
Project,2025-Benz-MMA V174/178-01,2025-06-17,2025-06-19,81705174,2025-06-06,2025-07-01,Complete,JP,Benz,MMA V174/178,1031340,Bead,Some NG beads have been put on the top of the machine without identification.,Failed to return to the recycling site in time,"During the operation, the NG tire Bead should be promptly returned to the recycling site for disposal.",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36DD3CC92DB06195E0633C071FCA1FF2
Project,2025-Benz-MMA V174/178-01,2025-06-17,2025-06-19,81705174,2025-06-06,2025-07-01,Complete,JP,Benz,MMA V174/178,1031340,Inspection,There is no defined position for the specific tyre at the final inspection area and there is potential risk for the DOT FIFO.,"1.When the tire fell off, it knocked the C-item frame away  2.The vehicles in the aisle are in a mess.","1.The frame of C-item is fixed. Make sure the frame does not shift when the tire drops.  2.The vehicles in the passage are quantified, named and positioned, and neatly arranged",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36DD3CC92DB06195E0633C071FCA1FF2
Project,2025-Benz-MMA V174/178-01,2025-06-17,2025-06-19,81705174,2025-06-06,2025-07-01,Complete,JP,Benz,MMA V174/178,1031340,Incoming,There is no definition about the material requalification especially after the critical quality issue happen or the sub-supplier process  change.,1) The years of cooperation with suppliers have not been statistically recorded  2) There is no full coverage verification for materials that have been in long-term use,"1) The materials of suppliers with more than 10 years shall be counted by years  2) When developing diversified raw materials, the verification and evaluation of raw materials from long-term suppliers should be fully covered",https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36DD3CC92DB06195E0633C071FCA1FF2
Project,2025-Benz-MMA V174/178-01,2025-06-17,2025-06-19,81705174,2025-06-06,2025-07-01,Complete,JP,Benz,MMA V174/178,1031340,Mixing,There was no printed expire date for one pallet rubber but the barcode with expire date management.,"After the power was cut off for equipment maintenance, some program contents were lost",1. Complete the printing content program  2. Strengthen the management of label inspection on a daily basis,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36DD3CC92DB06195E0633C071FCA1FF2
Project,2025-Benz-MMA V174/178-01,2025-06-17,2025-06-19,81705174,2025-06-06,2025-07-01,Complete,JP,Benz,MMA V174/178,1031340,Mixing,The time on the mixing machine computer was one hour delay and there is potential risk for the traceability.,"The equipment was shut down and the power was cut off. After restarting, the time was inaccurate.",1. Touch screen time calibration  2. A dedicated person will confirm once a week during the day shift,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36DD3CC92DB06195E0633C071FCA1FF2
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,System,管理者指责的问题点的改善措施：优化标准，但标准前后不明确，建议量化标准,1why：分层审核指责的问题点改善措施效果不佳。如分层审核发现1#BELT割刀温度异常，改善对策为：PM修复后使用。有再发的情况。 2why：未分析到根本原因，也没有文件化，有再发的可能。,1.深入分析指责的问题事项，例如：1#BELT割刀温度异常，为经验判断，现场无异常的判定标准及管理指导书  2.分析到根本原因后并制定有效的改善对策，必要时形成文件化。例如：新增成型割刀管理指导书，员工教育实施。 3.对改善措施进行横展，防止其他机台再发,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,System,青岛华恒新规评审缺乏品质人员参与，指责的问题点：实验室样品管理台账缺失是否关闭缺乏改善依据,1why：青岛华恒新规评审时，QA部门审核员应日程冲突，未参加 2why：《原辅材料供应商选定及管理规定》对审核组成员指定单一，品质部门只指定了QA，可调整的机动性不足。,1.扩大新规供应商审核的品质部门，除QA部门外，QC部，OE品质部，有VDA6.3审核资质人员均可代表品质部门参与新规供应商评审，增强可调整的机动性。 2.修改《原辅材料供应商选定及管理规定》 3.指责问题点已关闭，青岛华恒已提供《样品留样登记表》,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,System,濮阳班德路DCS系统温度设备上下限整改标准的依据来源不明确，建议明确数据依据,1why：对供应商审查，只对问题点改善与否进行确认，没有对改善的合理性进行深入检讨。,1.要求该厂家提供上下限树立依据，《报警规范设置》内明确规定了上下限。 2.向后需要对供应商的改善报告进行可靠性确认，所有审核员横展。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,System,基层管理人员的培训考核缺乏理论+实操,1why：基层管理人员考核以上层领导主管评价为主。 2why：基层管理人员晋升无明确的理论和实操考核评价基准。,1.增加对见习L长理论知识的线上学习培训并考核； 2.新增《见习L长的岗位技能测定卡》，理论和实操的综合评价，包涵评价基准及考核达标要求； 3.考核达标后，当部署提交《晋升推荐书》,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,System,设备日常点检缺乏异常原因管理，只有更换结果，建议追加,1why：设备日常点检故障仅对异常现象进行消除 2why：故障未分析到根本原因，导致无法防止再发 3why：缺少横展，同设备故障扩散,1.设备故障分析报告内增加根本原因分析，防止再发； 2.增加同类型设备故障样像扩散点检，防止同类故障发生,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,System,过程品管理规则分散在作业要领书上，建议增加一级文件明确管理要求（试作品、首末件、端数品）,1why：程序文件为韩国母社传递过来，过程品管理规则较分散，无明确的一级文件,增加过程品管理的一级文件,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,System,变化点体系文件直接在作业要领书上进行管理，建议增加一级文件,1why：程序文件为韩国母社传递过来，变化点管理无单独的一级文件，与变更管理程序文件统合，较混乱。,增加变化点管理的一级文件,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,Inspection,检查员的恶意检证多项外观检查合并在同一栏，且评价结果没有节拍要求，建议追加,1why：检查员恶意检证结果记录表设计不合理,1.重新设计恶意检证结果记录表格，每项不良检出与否分开打分 2.增加每个不良检出的时间作为考核项目,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,System,计量器具管理台账缺乏等级管理,1why：计量器具管理台账仅对计量器具的数量及状态进行管理，无等级管理要求。,1.修订《计量仪管理要领》，增加计量仪等级分类的定义； 2. 现场计量仪管理基准选定表中增加对应的等级分类；,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,Building,成型车间生胎检查岗位灯光缺乏管理,1why：生胎检查台灯光缺乏管理只对灯光是否亮进行确认，没有对光照度进行管理 2why：没有光照度要求,1.根据GB 50034-2013《建筑室内照明设计标准》中有关照明等级的规定，制定标准，一般检验工作台:照度为300lx;　 2.新增《G/T检查台光照度点检表》，并全机台定期检查确认（1次/月）,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,Inspection,检查车间输送带两侧的护栏上的滚轮固定螺栓过长，存在划伤轮胎风险,1why：螺丝纹路有快口，无光滑的防护罩,1.凸出的螺栓上加装光滑的圆弧形螺帽，防止划伤轮胎隐患发生。 2.全工厂输送线护栏点检横展。,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,Inspection,检查车间人员成品轮胎的叠放要求不遵守（叠放过高、斜放在推车把手上）,1why：检查车间作业员叠放轮胎较随意。 2why：《待检轮胎保管规定》对叠放高度虽然有不超过1.8m的要求，但是作业人员无法肉眼判定，不合理，可遵守,1.重新制定《待检轮胎保管规定》，明确定义了轮胎的叠放标准和高度，确保可遵守性。 2.机器检查员全员教育实施,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
System,2025-Toyota-quality system audit,2025-06-09,2025-06-11,81102484,2025-06-04,2025-06-30,Complete,JP,Toyota,-,-,Re-work,REP放置区域缺乏清单管理（放置时间、数量、去向、处理人）,1why：该区域为REP临时保管场所 2why：临时保管场所缺少日常管理要求,1.新增《REP放置区轮胎保管台帐》； 2.张贴至临时保管区域，目视化管理，防止混入进OE品内,https://egqms.hankooktech.com/CUSTOMER_AUDIT_LIST/customerAuditReportPopup.html?callid=filter&cqmsCustomerAuditSeq=36BC1802463B94FAE0633C071FCA2CA0
