DOC_NO,PLANT,PURPOSE,SUBJECT,STATUS,PROGRESS,REQUESTER,REG_DATE,COMP_DATE,URL,CHANGE_ITEM,CHANGE_CONTENT,MTL
MANA-DOC-2026-00100,DP,The others,"GSO 인증 강화 대응 목적 각인 공기압 변경 (215/75R17.5 12PR AH35-3002239, 215/75R17.5 12PR DH35-3002240 )",Reject(Request),Complete,21604344,2026-04-23,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00100,Mold,"Load&Pressure, Test psi 각인 공기압 변경 ( 725kPa → 700kPa )",2
MANA-DOC-2026-00099,JP,Improve Quality,特斯拉M3(M-CODE:1034346) 下模气孔增加改善(LT 预防）,Waiting for Reception,On-going,80501022,2026-04-22,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00099,Mold,下模胎面气孔增加（每个模块 6EA 增加）,1
MANA-DOC-2026-00098,IP,Prevent nonconformity,"[IP] OE FIAT PANDA / request to improve LRC (Manufacturing Spec, AVH)",Under Verification,On-going,61600224,2026-04-20,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00098,Mold,"Add AVH (Upper S/W: Line c= +4ea, Line d= +14ea; Lower S/W: Line c= +1ea, Line d= +13ea)",1
MANA-DOC-2026-00096,KP,Improve Quality,KP)315/80R22.5 단면 최적화 위한 Spec 변경(CWAV & 1TUH.H),Under Verification,On-going,21600019,2026-04-20,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00096,etc,CWAV & 1TUH.H 최적화를 위한 BSD 718 → 712 -6mm,1
MANA-DOC-2026-00098,IP,Prevent nonconformity,"[IP] OE FIAT PANDA / request to improve LRC (Manufacturing Spec, AVH)",Under Verification,On-going,61600224,2026-04-20,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00098,Building Set,BSD: 354mm → 358mm (+4),1
MANA-DOC-2026-00097,KP,Improve Quality,KP TBR - 265/70R19.5 18 AH35(3002592) STW 품질 이슈 개선 S/W 폭 변경 승인 요청,Under Verification,On-going,21604696,2026-04-20,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00097,Profile,S/W 폭 -5mm(중량 -0.13%),1
MANA-DOC-2026-00095,IP,Improve Productivity,Curing Time Spec Optimizing (63DH 830 → 63KF 710),Under Verification,On-going,61601017,2026-04-17,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00095,Curing,Curing Time Spec Change,1
MANA-DOC-2026-00094,IP,Improve Productivity,Curing Time Spec Optimizing (63DH 830 → 63KF 710),Saved,On-going,60001266,2026-04-17,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00094,Curing,Curing Time Spec Optimizing (63DH 830 → 63KF 710),1
MANA-DOC-2026-00093,CP,Improve Productivity,CP) SVW&FAW-VW A-SUVe 1025711 235/55R19T K127E 硫化方式变更 硫化生产性向上（生产性效果14379本/年）,Waiting for Reception,On-going,81703346,2026-04-16,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00093,Curing,63DH953→63FK797,1
MANA-DOC-2026-00092,CP,Improve Productivity,CP）Anhui-VW Tavascan 1032174 255/50R19T H750A 硫化方式变更 硫化生产性向上（生产性效果1626本/年）,Waiting for Reception,On-going,81703346,2026-04-16,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00092,Curing,60DH917→60KF797,1
