DOC_NO,PLANT,PURPOSE,SUBJECT,STATUS,PROGRESS,REQUESTER,REG_DATE,COMP_DATE,URL,CHANGE_ITEM,CHANGE_CONTENT,MTL
MANA-DOC-2025-00025,DP,Cost Optimization,생산성 향상 저온가류 조건 변경,Reject(Final Approval),Complete,21604358,2025-02-20,2025-06-02,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00025,Curing,63DH → 63KF 변경,1
MANA-DOC-2025-00023,KP,Cost Optimization,(1033132) 225/45R19V K135A LBRHK RRc 하한치 근접 규격 가류 온도 승온,Complete,Complete,20700204,2025-02-18,2025-04-30,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00023,Curing,60DH 1021 → 63KF 811,1
MANA-DOC-2025-00020,IP,Cost Optimization,[4M Change] M. Code 1031937 Request to change Cure Code DH → KF to improve productivity,Reject(Final Approval),Complete,60000518,2025-02-14,2025-08-18,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00020,Curing,Change Cure Code DH → KF,1
MANA-DOC-2025-00019,IP,Cost Optimization,[4M Change] M. Code 1025299 Request to change Cure Code DH → KF to improve productivity,Complete,Complete,60000518,2025-02-14,2025-08-18,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00019,Curing,Change Cure Code DH → KF,1
MANA-DOC-2025-00018,IP,Cost Optimization,[4M Change] M. Code 1024667 Request to change Cure Code DH → KF to improve productivity,Complete,Complete,60000518,2025-02-14,2025-08-18,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00018,Curing,Change Cure Code DH → KF,1
MANA-DOC-2025-00022,IP,Prevent nonconformity,DOT TIN Marking Change for Ford Econoline  VN127,Complete,Complete,60002485,2025-02-14,2025-03-24,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00022,etc,DOT TIN change ,1
MANA-DOC-2025-00017,CP,Cost Optimization,CP TBR OE 1规格胶囊变更还原（CB20-1 适用时BWB 不适合多发）,Reject(Request),Complete,81200065,2025-02-13,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00017,Curing,255/70R22.5 (Bladder Change: CB20-1 to BI13AP 还原）,1
MANA-DOC-2025-00015,DP,Improve Quality,RRc 하한에 따른 승온 검토 요청,Reject(Final Approval),Complete,21200031,2025-02-11,2025-06-02,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00015,Curing,RRc 하한 규격으로 가류 온도 163℃ → 168℃ 승온 필요성 있음. ,1
MANA-DOC-2025-00014,IP,Prevent nonconformity,"[IP] OE RIVIAN RPV / request to improve LRC (Spec, Vent Line)",Reject(Final Approval),Complete,20700071,2025-02-06,2025-10-15,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00014,Profile,R/C position shift to below RCL line + S/W Ga. Optimization,1
MANA-DOC-2025-00014,IP,Prevent nonconformity,"[IP] OE RIVIAN RPV / request to improve LRC (Spec, Vent Line)",Reject(Final Approval),Complete,20700071,2025-02-06,2025-10-15,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00014,Mold,Vent line width increase for passing Air / add Vent line (Current : 2 AVH 1 Vent Line → Request : 1 AVH 1 Vent Line),1
MANA-DOC-2025-00013,IP,Prevent nonconformity,"[4M Change] OE Nissan L21B 16,18 Inch / request to add AVH for improvement of LT, LSH",Reject(Final Approval),Complete,20700071,2025-02-06,2025-09-16,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00013,Mold,"LT (16, 18 inch) : add AVH on Tread Risk Position, LSH (16 inch) : add AVH on Tread Wing Edge area",3
MANA-DOC-2025-00012,MP,Prevent nonconformity,[ 1029035 ] VW T-ROC Bulge Improve,Complete,Complete,71601531,2025-02-03,2025-02-14,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00012,Profile,BSW Ga. Up,1
MANA-DOC-2025-00011,KP,Prevent nonconformity,북미 TBR OE 규격 DOT TINE Code 변경 승인 요청 건 (1SKU),Complete,Complete,21200093,2025-02-03,2025-08-26,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00011,Mold,DOT TIN Code,1
MANA-DOC-2025-00010,DP,Prevent nonconformity,DP) TBR/S 17.5인치 OE 6규격 Steel Chafer Edge Strip 적용 요청,Complete,Complete,20700210,2025-01-23,2025-08-13,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00010,etc,Steel Chafer Edge 부 Tape Folding → Profile Strip,6
MANA-DOC-2025-00009,KP,Improve Quality,KP TBR2- Sub T/D 일반배출에서 확대배출로 Sub T/D 변경  (T/D -프리폼다이 일원화-기존 잔여 OE 1규격 변경시 일원화 완료됨),Complete,Complete,21300195,2025-01-20,2025-01-24,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00009,Profile,null,1
MANA-DOC-2025-00007,MP,Prevent nonconformity,Tesla Model Y - LRC Improvement,Complete,Complete,71606463,2025-01-14,2025-01-24,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00007,Profile,SW Ga. change at LRC position,2
MANA-DOC-2025-00008,MP,Prevent nonconformity,VW Passat - LS Prevention,Complete,Complete,71606463,2025-01-14,2025-01-23,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00008,Profile,SW Ga. change at LS affected area,1
MANA-DOC-2025-00006,JP,Improve Quality,Magotan 마모 이슈 개선품 4M 신청_개선 2안(X58)으로 양산 적용 결정  *FAW-VW 품질과 최종 협의 완료,Complete,Complete,21602363,2025-01-14,2025-01-14,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00006,Profile,Optimizing Tread gauge & Cap tread width 4mm up,1
MANA-DOC-2025-00006,JP,Improve Quality,Magotan 마모 이슈 개선품 4M 신청_개선 2안(X58)으로 양산 적용 결정  *FAW-VW 품질과 최종 협의 완료,Complete,Complete,21602363,2025-01-14,2025-01-14,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00006,Belt/JLB Width,Belt width up : 210/200 -> 215/205,1
MANA-DOC-2025-00006,JP,Improve Quality,Magotan 마모 이슈 개선품 4M 신청_개선 2안(X58)으로 양산 적용 결정  *FAW-VW 품질과 최종 협의 완료,Complete,Complete,21602363,2025-01-14,2025-01-14,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00006,etc,Belt Lift 율 1.037 -> 1.033,1
MANA-DOC-2025-00006,JP,Improve Quality,Magotan 마모 이슈 개선품 4M 신청_개선 2안(X58)으로 양산 적용 결정  *FAW-VW 품질과 최종 협의 완료,Complete,Complete,21602363,2025-01-14,2025-01-14,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00006,etc,S/W Set Pos2 : 190 -> 195,1
MANA-DOC-2025-00005,JP,Cost Optimization,"JP）Toyota 381D 1032000 RR最适化调整 硫化生产性向上(生产性效果27,903本/年)",Complete,Complete,81703216,2025-01-13,2025-02-05,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00005,Curing,硫化Code：63DH895→68KF714,1
MANA-DOC-2025-00004,JP,Cost Optimization,"JP）Toyota 381D 1032000 RR最适化调整 硫化生产性向上(生产性效果27,903本/年)",Reject(Request),Complete,81703216,2025-01-08,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00004,Curing,硫化Code：63DH895→68KF714,1
MANA-DOC-2025-00002,KP,Prevent nonconformity,"HMC 295/80R22.5 16PR AL10, 11R22.5 16PR AH25 DOT 13자리 추진 (2규격)",Complete,Complete,21600639,2025-01-07,2025-04-21,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00002,Mold,DOT TIN Code Change,2
MANA-DOC-2025-00003,DP,Prevent nonconformity,"225/45R17W 04 H436 N _ HMC(CN7_HEV) _Nonconformity Improvement (AUS,BSH)",Complete,Complete,21600202,2025-01-07,2025-02-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00003,Profile,S/W Ga. 2Point +0.5,1
MANA-DOC-2025-00003,DP,Prevent nonconformity,"225/45R17W 04 H436 N _ HMC(CN7_HEV) _Nonconformity Improvement (AUS,BSH)",Complete,Complete,21600202,2025-01-07,2025-02-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00003,Building Set,BSD +2mm,1
MANA-DOC-2025-00001,KP,Prevent nonconformity,HMC 285/70R19.5 16PR AH35 DOT 13자리 추진,Complete,Complete,21600639,2025-01-06,2025-02-12,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00001,Mold,DOT TIN Code Change,1
MANA-DOC-2025-00000,DP,Prevent nonconformity,(DP) 205/60R16H 04 H436 LBT _ MTM개선 _ KMC (SOUL),Complete,Complete,21400183,2025-01-02,2025-01-09,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2025-00000,etc,"색선 위치변경  : (B +39, Y +36, W -37  → B+37, Y+5, W -37)",1
MANA-DOC-2024-00220,CP,Prevent nonconformity,CP 255/70R22.5 AH37 胎侧 变更,Complete,Complete,81201241,2024-12-30,2025-01-08,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00220,Profile,sidewall 幅：245→235， 部分点Ga. 0.5mm↓,1
MANA-DOC-2024-00220,CP,Prevent nonconformity,CP 255/70R22.5 AH37 胎侧 变更,Complete,Complete,81201241,2024-12-30,2025-01-08,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00220,Building Set,PA 幅：930→910mm,1
MANA-DOC-2024-00219,CP,Cost Optimization,CP) SVW&FAW-VW A-SUVe 1025711  235/55R19T K127E 硫化方式变更 硫化生产性向上（生产性效果37782本/年）,Complete,Complete,81703346,2024-12-29,2025-01-14,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00219,Curing,60DH953→60KF803,1
MANA-DOC-2024-00218,JP,Improve Quality,[JP] Tesla Model 3 (235/40R19W XL K127) Cure Code Change to Secure RR Margin (RR Spec-Out Risk),Reject(Final Approval),Complete,21601264,2024-12-27,2025-01-21,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00218,Curing,68DH 871 → 63KF 907,1
MANA-DOC-2024-00215,CP,Prevent nonconformity,CP 255/70R22.5 AH37 PA 反包改善，sidewall 变更,Reject(Request),Complete,81201241,2024-12-27,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00215,Building Set,PA 幅：930→910mm,1
MANA-DOC-2024-00217,KP,Prevent nonconformity,HMC 275/70R22.5 16PR AL10 DOT 13자리 추진,Complete,Complete,21600639,2024-12-27,2025-02-07,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00217,Mold,DOT TIN Code Change,1
MANA-DOC-2024-00215,CP,Prevent nonconformity,CP 255/70R22.5 AH37 PA 反包改善，sidewall 变更,Reject(Request),Complete,81201241,2024-12-27,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00215,Profile,幅：245→235，profile code：DN70698 →DN72804,1
MANA-DOC-2024-00216,CP,Prevent nonconformity,CP 255/70R22.5 AH37 胎侧 变更,Reject(Request),Complete,81201241,2024-12-27,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00216,Profile,sidewall 幅：245→235， 部分点Ga. 0.5mm↓,1
MANA-DOC-2024-00216,CP,Prevent nonconformity,CP 255/70R22.5 AH37 胎侧 变更,Reject(Request),Complete,81201241,2024-12-27,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00216,Building Set,PA 幅：930→910mm,1
MANA-DOC-2024-00213,JP,Prevent nonconformity,BMW GA8 2规格(M-code: 1031055/1031044) ，〇F析出 薄纸状改善,Complete,Complete,80501022,2024-12-10,2024-12-13,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00213,Mold,通过胎侧板 3*0.3mm导流槽加工，〇F析出 薄纸状→ 3mm图走宽度，Trimming时自动剔除 ，该规格,2
MANA-DOC-2024-00212,null,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Complete,Complete,81202522,2024-12-05,2024-12-13,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00212,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",2
MANA-DOC-2024-00212,CP,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Complete,Complete,81202522,2024-12-05,2024-12-13,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00212,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",8
MANA-DOC-2024-00212,HP,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Complete,Complete,81202522,2024-12-05,2024-12-13,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00212,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",17
MANA-DOC-2024-00212,JP,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Complete,Complete,81202522,2024-12-05,2024-12-13,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00212,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",14
MANA-DOC-2024-00211,IP,Prevent nonconformity,[IP] (OE Renault Dacia) Request to Tread Profile Matching for LT Improvement,Complete,Complete,61600224,2024-12-04,2025-02-10,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00211,Profile,"Tread profile width & gauge adjustment, matching with mold profile",1
MANA-DOC-2024-00209,KP,Improve Quality,"OE RR Spec-Out Risk 규격 가류 조건 환원 (KMC K8 규격, 68AH → 63KF)",Complete,Complete,21601264,2024-12-04,2025-01-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00209,Curing,68AH746 → 63KF842,1
MANA-DOC-2024-00204,JP,Improve Quality,24년 중국공장 PCR Weitai Customize Bladder 개발 적용 요청,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00204,Curing," diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders.",14
MANA-DOC-2024-00206,CP,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00206,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",8
MANA-DOC-2024-00204,HP,Improve Quality,24년 중국공장 PCR Weitai Customize Bladder 개발 적용 요청,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00204,Curing," diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders.",17
MANA-DOC-2024-00205,CP,Improve Quality,24년 중국공장 PCR Weitai Customize Bladder 개발 적용 요청,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00205,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders.",8
MANA-DOC-2024-00205,HP,Improve Quality,24년 중국공장 PCR Weitai Customize Bladder 개발 적용 요청,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00205,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders.",17
MANA-DOC-2024-00205,JP,Improve Quality,24년 중국공장 PCR Weitai Customize Bladder 개발 적용 요청,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00205,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders.",14
MANA-DOC-2024-00206,null,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00206,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",2
MANA-DOC-2024-00206,JP,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00206,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",14
MANA-DOC-2024-00206,HP,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00206,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",17
MANA-DOC-2024-00204,null,Improve Quality,24년 중국공장 PCR Weitai Customize Bladder 개발 적용 요청,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00204,Curing," diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders.",2
MANA-DOC-2024-00204,CP,Improve Quality,24년 중국공장 PCR Weitai Customize Bladder 개발 적용 요청,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00204,Curing," diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders.",8
MANA-DOC-2024-00207,null,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00207,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",2
MANA-DOC-2024-00205,null,Improve Quality,24년 중국공장 PCR Weitai Customize Bladder 개발 적용 요청,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00205,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders.",2
MANA-DOC-2024-00208,KP,Improve Quality,OE RR Spec-Out Risk 규격 가류 조건 환원,Reject(Request),Complete,21601264,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00208,Curing,63KF842 → 68AH746,1
MANA-DOC-2024-00207,CP,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00207,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",8
MANA-DOC-2024-00207,HP,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00207,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",17
MANA-DOC-2024-00207,JP,Improve Quality,Approval for 7 Sizes New Customize Bladder in China Plants,Reject(Request),Complete,81202522,2024-12-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00207,Curing,"To diversify bladders in Chinese plants,  develop and apply the Weitai customize bladders",14
MANA-DOC-2024-00203,JP,Prevent nonconformity,JP）235/40R19W XL K127 CT(1034346)硫化方式变更邀请,Complete,Complete,81703216,2024-11-28,2024-12-02,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00203,Curing,硫化方式 68AH781→68DH871,1
MANA-DOC-2024-00202,CP,Prevent nonconformity,255/40R20T XL IK01A CQ LT改善,Complete,Complete,81702801,2024-11-28,2025-01-14,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00202,Profile,LT改善，花纹块位置调整,1
MANA-DOC-2024-00200,CP,Improve Quality,CP 11R22.5 DH37 LI/SS增加变更承认邀请,Complete,Complete,81301976,2024-11-25,2024-12-09,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2024-00200,Mold,"LI/SS 148/145L, EXTRA LI/SS 146/143M, TEST PSI 850 kPa 增加刻印",1
